M瘰;Ano;Valor
1;1997;7.964,69
2;1997;8.828,73
3;1997;9.044,35
4;1997;9.982,39
5;1997;11.344,83
6;1997;12.567,63
7;1997;12.872,47
8;1997;10.609,45
9;1997;11.797,22
10;1997;8.986,33
11;1997;9.394,79
12;1997;10.196,56
1;1998;9.720,30
2;1998;10.570,85
3;1998;11.946,57
4;1998;11.677,11
5;1998;9.846,56
6;1998;9.678,27
7;1998;10.707,25
8;1998;6.472,15
9;1998;6.593,30
10;1998;7.047,40
11;1998;8.631,15
12;1998;6.784,33
1;1999;8.171,56
2;1999;8.910,72
3;1999;10.696,35
4;1999;11.350,56
5;1999;11.089,61
6;1999;11.626,94
7;1999;10.441,90
8;1999;10.564,60
9;1999;11.106,31
10;1999;11.700,20
11;1999;13.778,86
12;1999;17.091,60
1;2000;16.388,27
2;2000;17.660,20
3;2000;17.820,37
4;2000;15.537,60
5;2000;14.956,61
6;2000;16.727,95
7;2000;16.454,60
8;2000;17.346,70
9;2000;15.928,39
10;2000;14.867,23
11;2000;13.287,39
12;2000;15.259,29
1;2001;17.672,77
2;2001;15.891,41
3;2001;14.438,45
4;2001;14.917,54
5;2001;14.649,98
6;2001;14.559,79
7;2001;13.754,16
8;2001;12.840,60
9;2001;10.635,74
10;2001;11.364,71
11;2001;12.931,71
12;2001;13.577,57
1;2002;12.721,45
2;2002;14.033,29
3;2002;13.254,55
4;2002;13.085,12
5;2002;12.861,43
6;2002;11.139,16
7;2002;9.762,59
8;2002;10.382,20
9;2002;8.622,54
10;2002;10.167,71
11;2002;10.508,81
12;2002;11.268,47
1;2003;10.941,09
2;2003;10.280,61
3;2003;11.273,63
4;2003;12.556,70
5;2003;13.421,60
6;2003;12.972,58
7;2003;13.571,73
8;2003;15.174,49
9;2003;16.010,67
10;2003;17.982,49
11;2003;20.183,97
12;2003;22.236,39
1;2004;21.851,44
2;2004;21.755,02
3;2004;22.142,26
4;2004;19.607,23
5;2004;19.544,67
6;2004;21.148,91
7;2004;22.336,87
8;2004;22.803,19
9;2004;23.245,24
10;2004;23.052,18
11;2004;25.128,33
12;2004;26.196,25
1;2005;24.350,62
2;2005;28.139,13
3;2005;26.610,65
4;2005;24.843,70
5;2005;25.207,07
6;2005;25.051,21
7;2005;26.042,36
8;2005;28.044,83
9;2005;31.583,79
10;2005;30.193,51
11;2005;31.916,76
12;2005;33.455,94
1;2006;38.382,80
2;2006;38.610,39
3;2006;37.951,97
4;2006;40.363,42
5;2006;36.530,04
6;2006;36.630,66
7;2006;37.077,12
8;2006;36.232,22
9;2006;36.449,40
10;2006;39.262,79
11;2006;41.931,84
12;2006;44.473,71
1;2007;44.641,60
2;2007;43.892,31
3;2007;45.804,66
4;2007;48.956,39
5;2007;52.268,46
6;2007;54.392,06
7;2007;54.182,50
8;2007;54.637,24
9;2007;60.465,06
10;2007;65.317,70
11;2007;63.006,16
12;2007;63.886,10
1;2008;59.490,40
2;2008;63.489,30
3;2008;60.968,07
4;2008;67.868,46
5;2008;72.592,50
6;2008;65.017,58
7;2008;59.505,17
8;2008;55.680,41
9;2008;49.541,27
10;2008;37.256,84
11;2008;36.595,87
12;2008;37.550,31
1;2009;39.300,79
2;2009;38.183,31
3;2009;40.925,87
4;2009;47.289,53
5;2009;53.197,73
6;2009;51.465,46
7;2009;54.765,72
8;2009;56.488,98
9;2009;61.517,89
10;2009;61.545,50
11;2009;67.044,44
12;2009;68.588,41
1;2010;65.401,77
2;2010;66.503,27
3;2010;70.371,54
4;2010;67.529,73
5;2010;63.046,51
6;2010;60.935,90
7;2010;67.515,40
8;2010;65.145,45
9;2010;69.429,78
10;2010;70.673,30
11;2010;67.705,40
12;2010;69.304,81
1;2011;66.574,88
2;2011;67.383,22
3;2011;68.586,70
4;2011;66.132,86
5;2011;64.620,08
6;2011;62.403,64
7;2011;58.823,45
8;2011;56.495,12
9;2011;52.324,42
10;2011;58.338,39
11;2011;56.874,98
12;2011;56.754,08
1;2012;63.072,31
2;2012;65.811,73
3;2012;64.510,97
4;2012;61.820,26
5;2012;54.490,41
6;2012;54.354,63
7;2012;56.097,05
8;2012;57.061,45
9;2012;59.175,80
10;2012;57.068,18
11;2012;57.474,57
12;2012;60.952,08
1;2013;59.761,49
2;2013;57.424,29
3;2013;56.352,09
4;2013;55.910,37
5;2013;53.506,08
6;2013;47.457,13
7;2013;48.234,49
8;2013;50.011,75
9;2013;52.338,19
10;2013;54.256,20
11;2013;52.482,49
12;2013;51.507,16
1;2014;47.638,99
2;2014;47.094,40
3;2014;50.414,92
4;2014;51.626,69
5;2014;51.239,34
6;2014;53.168,22
7;2014;55.829,41
8;2014;61.288,15
9;2014;54.115,98
10;2014;54.628,60
11;2014;54.724,00
12;2014;50.007,41
1;2015;46.907,68
2;2015;51.583,09
3;2015;51.150,16
4;2015;56.229,38
5;2015;52.760,47
6;2015;53.080,88
7;2015;50.864,77
8;2015;46.625,52
9;2015;45.059,34
10;2015;45.868,81
11;2015;45.120,36
12;2015;43.349,96
1;2016;40.405,99
2;2016;42.793,86
3;2016;50.055,27
4;2016;53.910,50
5;2016;48.471,70
6;2016;51.526,92
7;2016;57.308,20
8;2016;57.901,10
9;2016;58.367,04
10;2016;64.924,51
11;2016;61.906,35
12;2016;60.227,28
1;2017;64.670,78
2;2017;66.662,10
3;2017;64.984,06
4;2017;65.403,24
5;2017;62.711,47
6;2017;62.899,97
7;2017;65.920,36
8;2017;70.835,05
9;2017;74.293,50
10;2017;74.308,49
11;2017;71.970,99
12;2017;76.402,08
1;2018;84.912,70
2;2018;85.353,60
3;2018;85.365,56
4;2018;86.115,50
5;2018;76.753,61
6;2018;72.762,52
7;2018;79.220,44
8;2018;76.677,53
9;2018;79.342,43
10;2018;87.423,55
11;2018;89.504,03
12;2018;87.887,27
1;2019;97.393,75
2;2019;95.584,35
3;2019;95.414,56
4;2019;96.353,33
5;2019;97.030,32
6;2019;100.967,20
7;2019;101.812,13
8;2019;101.134,61
9;2019;104.745,32
10;2019;107.219,83
11;2019;108.233,28
12;2019;115.645,34
1;2020;113.760,57
2;2020;104.171,57
3;2020;73.019,76
4;2020;80.505,89
5;2020;87.402,59
6;2020;95.055,82
7;2020;102.912,24
8;2020;99.369,15
9;2020;94.603,38
10;2020;93.952,40
11;2020;108.893,32
12;2020;119.017,24
1;2021;115.067,55
2;2021;110.035,17
3;2021;116.633,72
4;2021;118.893,84
5;2021;126.215,73
6;2021;126.801,66
7;2021;121.800,79
8;2021;118.781,03
9;2021;110.979,10
10;2021;103.500,71
11;2021;101.915,45
12;2021;104.822,44
1;2022;112.143,51
2;2022;113.141,94
3;2022;119.999,23
4;2022;107.876,16
5;2022;111.350,51
6;2022;98.541,95
7;2022;103.164,69
8;2022;109.522,88
9;2022;110.036,79
10;2022;116.037,08
11;2022;112.486,01
12;2022;109.734,60
1;2023;113.430,54
2;2023;104.931,93
3;2023;101.882,20
4;2023;104.431,63
5;2023;108.335,07
6;2023;118.087,00
7;2023;121.942,98
8;2023;115.741,81
9;2023;116.565,17
10;2023;113.143,67
11;2023;127.331,12
12;2023;134.185,24
1;2024;127.752,28
2;2024;129.020,02
3;2024;128.106,10
4;2024;125.924,19
5;2024;122.098,09
6;2024;123.906,55
7;2024;127.651,81
8;2024;136.004,01
9;2024;131.816,44
10;2024;129.713,33
11;2024;125.667,83
12;2024;120.283,40
1;2025;126.134,94
2;2025;122.799,09
3;2025;130.259,54
4;2025;135.066,97
5;2025;137.026,62
6;2025;138.854,60
7;2025;134.035,72
